Name,Nische,Ort,Inhaber,Telefon,Web_Ads_Status,Filter_Check,Prioritaet,Status,Naechster_Schritt,Notizen
"König Küchen (Möbel König GmbH)",Küche,Mengen,,07572 3591,"noch pruefen (Meta-Ads/GBP)","AOV hoch, inhabergefuehrt, terminbasiert - Ads/Kapazitaet pruefen",Hoch,Neu,"Meta-Ads/GBP pruefen, dann anrufen","Pappelweg 4, 88512 Mengen; Marken NEXT125/Schueller/Nobilia/Nolte; info@koenigkuechen.de"
"KüchenTreff Martin Fritz (Küchenhaus Pfullendorf)",Küche,Pfullendorf,Martin Fritz,07552 3089490,"noch pruefen","AOV hoch, inhabergefuehrt - ABER KuechenTreff-Verbund, Marketinghoheit pruefen",Hoch,Neu,"Pruefen ob lokal Ads entschieden werden, dann anrufen","Otterswanger Str. 7/8, 88630 Pfullendorf; Inhaber Martin Fritz"
"Brier Küchen",Küche,Pfullendorf,Marcus Brier,07552 9358999,"noch pruefen","AOV hoch, inhabergefuehrte Schreinerei - Ads/GBP pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Otterswanger Str. 7/5, 88630 Pfullendorf; Schreinermeister Marcus Brier; info@brier-kuechen.de"
"Mika Küchen GmbH",Küche+Bad,Pfullendorf,,07552 929639,"noch pruefen","AOV hoch, macht Kueche UND Baeder - Ads pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Allschwiler Weg 27, 88630 Pfullendorf; Kuechen/Wohnmoebel/Badeinrichtungen; info@mika-kuechen.de"
"Demmelhuber GmbH (Küchen & Möbelschreinerei)",Küche,Meßkirch,,07575 2449,"noch pruefen","AOV hoch, inhabergefuehrte Schreinerei - Ads/Kapazitaet pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Igelswieser Str. 10, 88605 Meßkirch"
"Keller Innenausbau GmbH",Küche+Bad,Meßkirch,,07575 922215,"noch pruefen","AOV hoch, Familienbetrieb (seit 1898), macht Kueche+Baeder - Kapazitaet pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Weidenäcker 1, 88605 Meßkirch-Heudorf; Schreinerei/Kuechen/Baeder/Bauelemente"
"KWB Küche Wohnen Bad",Küche+Bad,"Bad Saulgau",,07581 2276,"noch pruefen","AOV hoch, deckt Kueche UND Bad ab - Rest pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Paradiesstr. 27, 88348 Bad Saulgau; auch Standort Riedlingen (07371 90905-0)"
"Küchenwelt Sigmaringen",Küche,Sigmaringen,,07571 9297386,"noch pruefen","AOV hoch - ABER musterhaus-kuechen-Verbund, Marketinghoheit pruefen",Mittel,Neu,"Pruefen ob lokal entschieden wird, sonst niedriger","Binger Str. 2, 72488 Sigmaringen; info@kuechenwelt-sigmaringen.de"
"Waldvogel Heiztechnik GmbH",Bad,Pfullendorf,,07552 933790,"noch pruefen","AOV hoch, LOKAL Pfullendorf, 'Bad aus einer Hand' - Kapazitaet pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Badsanierung/barrierefreies Bad; ewaldvogel.de; Handwerker-Kapazitaet vor Signing pruefen"
"Gerd Horn Bad + Wärme",Bad,"Sigmaringen-Laiz",,07571 5753,"noch pruefen","AOV hoch, etabliert (seit 1962) - Kapazitaet/Ads-Bedarf pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","shk-horn.de; bedient Pfullendorf/Messkirch/Krauchenwies; alt. Nr. 07571 4660"
"Nabenhauer GmbH & Co. KG",Bad,Meßkirch,,07575 9218-0,"noch pruefen","AOV hoch, breite Region - Kapazitaet pruefen",Mittel,Neu,"Web/Ads + GBP pruefen, dann anrufen","Weidenäcker 4, 88605 Meßkirch; Bad/Heizung/Sanitaer; bedient Sigmaringen/Tuttlingen/Pfullendorf/Stockach"
"Bodon Haustechnik",Bad,Herbertingen,,07586 4199699,"noch pruefen","AOV hoch - Kapazitaet pruefen",Mittel,Neu,"Web/Ads + GBP pruefen, dann anrufen","Heustraße 6, 88518 Herbertingen; Badsanierung; bedient Mengen/Riedlingen/Sigmaringen"
"Riester Haustechnik GmbH & Co. KG",Bad,Meßkirch,,07575 4742,"noch pruefen","AOV hoch, lokaler Fachbetrieb - Kapazitaet pruefen",Mittel,Neu,"Web/Ads + GBP pruefen, dann anrufen","Albweg 10/1, 88605 Meßkirch-Rohrdorf; Badsanierung"
"Gabriel GmbH (Bad & Heizung)",Bad,"Ebersbach-Musbach",,07581 48830,"noch pruefen","AOV hoch, aber weiter weg - niedriger priorisieren",Niedrig,Neu,"Nur falls naehere Betriebe nicht passen","Vor dem Berg 10, 88371 Ebersbach-Musbach/Boos; gabrielgmbh.de"
"Küchenstudio G. Wurst GmbH",Küche,Stockach,Gerd Wurst,07771 6349950,"noch pruefen","AOV hoch, inhabergefuehrt - Ads/Kapazitaet pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Seerheinstr. 8, 78333 Stockach; bedient Ueberlingen/Radolfzell/Tuttlingen"
"Küchenatelier La Cucina (Joost Theelen)",Küche,Überlingen,Joost Theelen,07551 8315070,"noch pruefen","AOV hoch, inhabergefuehrtes Atelier - Ads pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Oberriedweg 17, 88662 Ueberlingen"
"Auer Küchen",Küche,Tuttlingen,Siegbert Auer,07461 165555,"noch pruefen","AOV hoch, inhabergefuehrt - Ads pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Daimlerstr. 23, 78532 Tuttlingen"
