Name,Branche,Ort,Adresse,Telefon,Website-Hinweis,Digitale_Prioritaet,Status,Naechster_Schritt,Datum,Notizen,Kontaktverlauf
TheSalonNiki,Beautysalon,Pfullendorf,Alte Postgasse 18,0151 11622116,"Nur Buchungsseite auf mytreatwell-Subdomain, keine eigene Website erkennbar",Hoch,archiviert,"Nische verworfen 2026-07-22",,Starkes Signal fuer fehlenden eigenen Webauftritt,
"Isolde Keune Nagel- und Kosmetikstudio",Beautysalon,Pfullendorf,St.-Katharinen-Str. 6,07552 4780,"Nur auf Branchenverzeichnissen (11880/golocal) gelistet",Hoch,archiviert,"Nische verworfen 2026-07-22",,Kein eigener Domainauftritt gefunden,
Bleaching Lounge,Beautysalon,Pfullendorf,Metzgergasse 5,,Noch nicht geprueft,Mittel,archiviert,"Nische verworfen 2026-07-22",,,
Cosmetic Stauffenberg,Beautysalon,"Wald bei Pfullendorf",Dampferweg 6,07578-933222,"Eigene Domain vorhanden, Qualitaet/Ads-Status pruefen",Mittel,archiviert,"Nische verworfen 2026-07-22",,Leicht ausserhalb Pfullendorf,
"FITNESS-CLUB fit4life GmbH",Fitnessstudio,Pfullendorf,Bergwaldstr. 4,07771 875275,"Nur rudimentaere chayns-Baukastenseite (fit4life-pfullendorf.chayns.site) + verwaistes united.fitness-Profil (zuletzt online 02/2015); moeglicher alter Domain-Hinweis fitness4life.de (pruefen)",Hoch,archiviert,"Nische verworfen 2026-07-22 (Fitness fallengelassen)",2026-07-19,"Ansprechpartner: Felix Staudacher. War Startprojekt fuer Fitness-Referenz. Fotos muessen vor Ort gemeinsam gemacht werden.",
Sportcenter Barz,Fitnessstudio,Pfullendorf,Otterswanger Str. 1,07552 409640,"Kein eigener Webauftritt gefunden, nur Facebook-Seite und Branchenverzeichnisse",Hoch,archiviert,"Nische verworfen 2026-07-22",,"Seit 1982 etabliert, aber digital praktisch nicht sichtbar",
MC Shape Pfullendorf,Fitnessstudio,Pfullendorf,,07552 3824090,Franchise mit zentralem Marketing,Niedrig,archiviert,"Nische verworfen 2026-07-22",,Franchise - Entscheidung liegt evtl. nicht lokal,
"StyleBoxx Friseur Markt-Center",Friseur,Pfullendorf,Bergwaldstrasse 4,07552 9280559,"Teil einer Kette (StyleBoxx/Klier) - vermutlich zentrales Marketing",Niedrig,archiviert,"Nische verworfen 2026-07-22",,"Kettenbetrieb, Entscheidung evtl. nicht lokal",
"Guemues Saadet Friseur",Friseur,Pfullendorf,Bahnhofstr. 4,,Noch keine Telefonnummer gefunden,Hoch,archiviert,"Nische verworfen 2026-07-22",,Kleiner Einzelsalon,
"Boll Manfred Der Haarschneider",Friseur,Pfullendorf,Andreas-Rogg-Gasse 6,07552 91000,Noch nicht geprueft,Hoch,archiviert,"Nische verworfen 2026-07-22",,Kleiner Einzelsalon,
"Schmauder Rainer Herrensalon",Friseur,Pfullendorf,Sigmaringer Str. 7,,Noch keine Telefonnummer gefunden,Hoch,archiviert,"Nische verworfen 2026-07-22",,Kleiner Einzelsalon,
RESTLE,Friseur,Pfullendorf,Otterswanger Str. 5,+49 7552 9386633,Noch nicht geprueft,Mittel,archiviert,"Nische verworfen 2026-07-22",,,
