Name,Nische,Ort,Inhaber,Telefon,Web_Ads_Status,Filter_Check,Prioritaet,Status,Naechster_Schritt,Notizen
"König Küchen (Möbel König GmbH)",Küche,Mengen,,07572 3591,"noch pruefen (Meta-Ads/GBP)","AOV hoch, inhabergefuehrt, terminbasiert - Ads/Kapazitaet pruefen",Hoch,Neu,"Meta-Ads/GBP pruefen, dann anrufen","Pappelweg 4, 88512 Mengen; Marken NEXT125/Schueller/Nobilia/Nolte; info@koenigkuechen.de"
"Küchenhaus Pfullendorf",Küche,Pfullendorf,Martin Fritz,,"noch pruefen","AOV hoch, inhabergefuehrt - Rest pruefen",Hoch,Neu,"Telefon recherchieren, Web/Ads + GBP pruefen, dann anrufen","Inhaber Martin Fritz (ex-Alno), Mengener Str.; Quelle Schwaebische Zeitung"
"Brier Küchen",Küche,Pfullendorf,,,"noch pruefen","AOV hoch, inhabergefuehrt - Rest pruefen",Hoch,Neu,"Telefon recherchieren, Web/Ads + GBP pruefen","Otterswanger Str. (Industriegebiet); Quelle Schwaebische Zeitung"
"Demmelhuber Möbelschreinerei & Küchenstudio GmbH",Küche,Meßkirch,,,"noch pruefen","AOV hoch, inhabergefuehrte Schreinerei - Rest pruefen",Hoch,Neu,"Telefon recherchieren (messkirch.de/Gelbe Seiten), dann anrufen","88605 Meßkirch; Schreinerei + Kuechenstudio"
"KWB Küche Wohnen Bad",Küche+Bad,"Bad Saulgau",,07581 2276,"noch pruefen","AOV hoch, deckt Kueche UND Bad ab - Rest pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Paradiesstr. 27, 88348 Bad Saulgau; auch Standort Riedlingen (07371 90905-0)"
"Küchenwelt Sigmaringen",Küche,Sigmaringen,,07571 9297386,"noch pruefen","AOV hoch - ABER musterhaus-kuechen-Verbund, Marketinghoheit pruefen",Mittel,Neu,"Pruefen ob lokal entschieden wird, sonst niedriger","Binger Str. 2, 72488 Sigmaringen; info@kuechenwelt-sigmaringen.de; Verbund -> evtl. zentrales Marketing"
"Keller Innenausbau GmbH",Küche,Meßkirch,,,"noch pruefen","AOV hoch - Rest pruefen",Mittel,Neu,"Telefon recherchieren, Web/Ads pruefen","88605 Meßkirch; Innenausbau + Kuechenstudio"
"Mika Küchen Pfullendorf",Küche,Pfullendorf,,,"noch pruefen","AOV hoch - Inhaberstatus pruefen",Mittel,Neu,"Telefon recherchieren, Web/Ads pruefen","Listung kuechenguide.com - Details verifizieren"
"Waldvogel Heiztechnik GmbH",Bad,Pfullendorf,,07552 933790,"noch pruefen","AOV hoch, LOKAL Pfullendorf, 'Bad aus einer Hand' - Kapazitaet pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","Bietet Badsanierung/barrierefreies Bad; ewaldvogel.de; Handwerker-Kapazitaet vor Signing pruefen"
"Gerd Horn Bad + Wärme",Bad,"Sigmaringen-Laiz",,07571 5753,"noch pruefen","AOV hoch, etabliert (seit 1962) - Kapazitaet/Ads-Bedarf pruefen",Hoch,Neu,"Web/Ads + GBP pruefen, dann anrufen","shk-horn.de; bedient Pfullendorf/Messkirch/Krauchenwies; alt. Nr. 07571 4660"
"Nabenhauer GmbH & Co. KG",Bad,Meßkirch,,,"noch pruefen","AOV hoch, breite Region - Kapazitaet pruefen",Mittel,Neu,"Telefon recherchieren (nabenhauer.de), Web/Ads pruefen","Bad/Heizung/Sanitaer; bedient Sigmaringen/Tuttlingen/Pfullendorf/Stockach"
"Bodon Haustechnik",Bad,Mengen,,,"noch pruefen","AOV hoch - Kapazitaet pruefen",Mittel,Neu,"Telefon recherchieren (bodon-haustechnik.de), Web/Ads pruefen","Badsanierung; bedient Herbertingen/Mengen/Riedlingen/Sigmaringen"
"ABSanierung",Bad,Meßkirch,,,"noch pruefen","Komplettbad-Fokus - Inhaber/Kapazitaet pruefen",Mittel,Neu,"Telefon recherchieren, Web/Ads pruefen","88605 Meßkirch; Komplettbadsanierung"
"Gabriel GmbH (Bad & Heizung)",Bad,"Ebersbach-Musbach",,,"noch pruefen","AOV hoch, aber weiter weg - niedriger priorisieren",Niedrig,Neu,"Nur falls naehere Betriebe nicht passen","gabrielgmbh.de; Boos/Ebersbach-Musbach, groesserer Anfahrtsradius"
